City,Store,Address,Premise Type
San Diego,Barbarella Restaurant & Bar,"2171 Avenida De La Playa, La Jolla, CA 92037, United States",on
San Diego,Brigantine Restaurants Corporation,"7889 Ostrow St, San Diego, CA 92111, United States",on
San Diego,Bullpen,"8199 Clairemont Mesa Blvd, San Diego, CA 92111, United States",on
San Diego,Cohn Restaurant Group,"2225 Hancock St, San Diego, CA 92110, United States",on
San Diego,The Coyote Bar & Grill,"300 Carlsbad Village Dr, Carlsbad, CA 92008, United States",on
San Diego,Coyote Grille (?),Unknown,on
San Diego,Death by Tequila,"5965 Village Way e107, San Diego, CA 92130, United States",on
San Diego,El Agave Restaurant & Tequileria,"2304 San Diego Ave # B, San Diego, CA 92110, United States",on
San Diego,Fast Times ,"3065 Clairemont Dr, San Diego, CA 92117, United States",on
San Diego,Home and Away,"2222 San Diego Ave, San Diego, CA 92110, United States",on
San Diego,Ilfernio (?),Unknown,on
San Diego,Jimmy’s Famous American Tavern,"4990 N Harbor Dr, San Diego, CA 92106, United States",on
San Diego,Kona Kai Resort & Spa,"1551 Shelter Island Dr, San Diego, CA 92106, United States",on
San Diego,L'Auberge Del Mar,"1540 Camino Del Mar, Del Mar, CA 92014, United States",on
San Diego,La Doña,"1852 Bacon St, San Diego, CA 92107, United States",on
San Diego,Longhorn Bar & Grill,"6519 Mission Gorge Rd, San Diego, CA 92120, United States",on
San Diego,Luce Bar & Kitchen,"1959 Morena Blvd, San Diego, CA 92110, United States",on
San Diego,McGregor's Grill,"10475 San Diego Mission Rd, San Diego, CA 92108, United States",on
San Diego,San Diego Mission Bay Resort,"1775 E Mission Bay Dr., San Diego, CA 92109, United States",on
San Diego,Monarch Grille (Monarch Ocean Pub),"1555 Camino Del Mar Suite 322, Del Mar, CA 92014, United States",on
San Diego,Oggie’s Pizza (?),Unknown five SD locations,on
San Diego,Old Town Mexican Café,"2489 San Diego Ave, San Diego, CA 92110, United States",on
San Diego,Old Venice (Old Venice Restaurant),"2910 Cañon St, San Diego, CA 92106, United States",on
San Diego,Open Bar,"4302 Mission Blvd, San Diego, CA 92109, United States",on
San Diego,Pizza Nova,"5050 N Harbor Dr, San Diego, CA 92106, United States",on
San Diego,Pueblo Cantina (Pueblo),"877 Hornblend St, San Diego, CA 92109, United States",on
San Diego,Shorerider (Shore Rider Bar),"2168 Avenida De La Playa, La Jolla, CA 92037, United States",on
San Diego,The Cove (?),Unknown,on
San Diego,The Pennant (The Pennant Bar),"2893 Mission Blvd, San Diego, CA 92109, United States",on
San Diego,World Famous,"711 Pacific Beach Dr, San Diego, CA 92109, United States",on
San Diego,Zel’s (Zel's Del Mar),"1247 Camino Del Mar, Del Mar, CA 92014, United States",on
San Diego,Bristol Farms (?),Unknown Permanently Closed,off
San Diego,Cardiff Seaside (?),Unknown,off
San Diego,Cardiff Seaside Market,"2087 San Elijo Ave, Cardiff, CA 92007, United States",off
San Diego,Chris’s Liquor (Chris' Liquor & Deli),"2275 Sunset Cliffs Blvd, San Diego, CA 92107, USA",off
